saddr,success,ttl
31.169.48.24,0,248
31.169.51.170,0,55
31.169.51.137,0,192
31.169.50.226,0,56
31.169.48.136,0,97
31.169.48.84,0,248
31.169.48.132,0,248
31.169.50.252,0,248
31.169.49.133,0,247
31.169.48.120,0,248
31.169.51.209,0,248
31.169.50.93,1,56
31.169.50.193,0,248
31.169.52.37,0,248
31.169.51.227,0,247
31.169.49.180,0,248
31.169.52.101,0,248
31.169.50.111,0,248
31.169.49.149,0,247
31.169.52.208,0,248
31.169.52.172,0,248
31.169.52.28,0,248
31.169.52.8,0,248
31.169.52.91,0,248
31.169.52.151,0,248
31.169.52.219,0,248
31.169.48.223,0,248
31.169.51.203,1,117
31.169.50.187,1,53
31.169.50.145,0,207
31.169.50.225,0,192
31.169.48.85,0,248
31.169.48.87,0,248
31.169.49.228,0,248
31.169.50.181,1,118
31.169.51.165,0,54
31.169.49.18,0,248
31.169.52.104,0,248
31.169.52.146,0,248
31.169.48.12,0,246
31.169.50.177,0,246
31.169.49.113,0,248
31.169.48.133,0,58
31.169.50.21,0,192
31.169.48.206,0,248
31.169.48.63,0,246
31.169.48.60,0,246
31.169.49.102,0,248
31.169.48.62,0,245
31.169.48.102,0,246
31.169.48.96,0,248
31.169.49.103,0,248
31.169.48.116,0,248
31.169.49.85,0,248
