saddr,success,ttl
185.62.162.193,1,243
85.252.104.94,0,245
62.176.218.208,0,246
84.49.147.45,0,53
89.10.134.184,0,53
81.191.27.239,0,52
84.234.155.219,1,52
79.160.38.90,1,117
185.60.161.39,0,246
82.134.93.199,0,53
151.249.118.117,0,248
77.88.86.218,0,54
80.202.235.198,0,54
81.167.171.195,1,54
62.89.61.151,0,54
62.92.109.1,0,54
80.232.64.6,0,244
185.59.214.7,1,242
87.238.42.128,0,57
91.90.42.213,0,140
139.98.74.75,0,247
89.151.255.58,0,248
95.141.95.69,1,113
91.186.72.185,1,241
91.135.34.56,1,54
80.232.2.34,0,49
194.31.39.69,0,57
213.161.232.111,0,243
89.10.246.181,0,52
89.10.126.37,0,52
139.98.188.158,0,247
85.93.255.176,0,50
139.106.83.120,0,55
80.239.110.145,0,49
5.100.183.179,0,50
82.148.177.181,0,49
79.160.136.204,0,51
89.10.132.4,0,244
80.232.108.182,1,53
139.98.246.214,0,247
141.195.38.108,0,47
84.48.3.62,0,248
84.16.198.171,0,247
155.4.4.51,0,46
89.10.246.5,0,52
85.19.221.185,0,242
89.20.236.1,0,242
151.249.117.210,0,248
91.218.185.172,0,53
82.134.42.153,0,246
91.90.104.161,0,245
89.20.232.171,0,52
85.93.247.201,0,50
139.98.38.213,0,53
94.139.65.19,0,241
46.249.234.49,0,49
80.232.93.21,0,245
188.93.186.40,0,51
147.12.39.55,0,51
87.238.39.235,0,57
141.0.85.96,0,244
89.10.147.227,0,53
109.247.30.236,0,246
109.68.89.175,0,246
185.112.24.130,0,244
143.110.111.220,0,97
193.156.192.69,1,240
217.13.2.201,0,246
158.37.63.55,0,55
77.95.72.60,0,243
109.247.200.80,0,244
87.248.18.73,0,54
45.154.232.17,0,56
84.48.109.193,0,50
77.70.255.250,0,238
213.138.180.156,0,52
89.10.101.16,0,53
82.199.20.125,0,54
80.202.235.91,0,54
85.164.232.195,1,50
81.167.49.87,0,244
91.90.43.237,0,245
89.10.167.136,0,55
81.167.51.235,0,245
213.161.245.197,0,243
213.52.122.157,0,244
213.138.180.78,0,52
81.95.86.136,0,50
185.161.59.6,1,54
84.205.51.11,0,48
185.24.191.133,0,50
195.159.108.157,0,53
129.240.189.147,0,59
89.10.82.158,0,52
193.156.214.239,0,240
87.238.51.175,0,57
193.220.184.169,0,241
82.196.207.180,0,53
93.124.130.51,0,242
155.4.245.210,1,50
46.249.230.174,0,49
62.97.244.209,0,246
85.19.205.41,0,245
92.221.22.135,1,50
82.199.11.237,0,54
109.169.119.84,0,50
195.139.12.136,0,245
89.10.176.81,0,245
153.110.240.109,0,244
82.199.27.142,0,54
87.238.58.181,0,57
84.205.55.55,1,50
46.9.97.150,0,53
185.45.176.189,0,50
109.247.64.239,0,244
85.89.19.227,1,54
81.26.53.142,1,50
31.169.54.71,0,243
109.247.12.95,0,247
212.67.52.167,0,243
109.247.15.156,1,52
89.45.165.1,0,245
82.134.8.18,1,117
217.170.136.240,0,53
77.40.226.114,0,54
88.89.93.231,0,54
193.214.111.224,0,53
193.213.103.30,0,245
89.10.161.52,0,55
92.220.228.202,1,239
193.215.40.194,0,53
178.248.103.16,0,49
213.145.182.133,0,246
109.247.196.173,0,243
193.156.152.1,0,240
139.98.49.213,0,247
195.1.248.173,0,245
148.82.170.191,0,247
185.58.138.137,0,47
185.55.104.38,1,54
109.247.191.239,0,246
141.195.32.87,0,47
62.101.225.169,0,245
82.199.30.131,0,54
89.10.217.13,0,53
193.220.53.54,1,43
85.113.180.229,0,104
176.111.192.2,0,247
84.212.225.15,0,49
193.71.50.104,0,244
147.111.132.137,1,242
78.26.25.189,0,46
213.167.116.194,0,244
62.97.208.216,0,246
84.48.119.78,0,50
78.31.87.83,0,51
217.118.32.33,0,244
213.128.189.84,0,51
82.148.173.225,0,50
193.178.220.86,0,193
147.12.36.91,0,50
62.97.222.124,0,55
80.203.121.65,0,55
155.4.123.164,1,44
178.249.127.91,0,244
62.92.230.37,0,246
62.50.180.8,0,244
82.199.11.29,0,54
143.97.251.159,1,241
148.82.189.140,0,247
85.93.244.190,0,50
193.214.69.161,0,246
213.145.185.18,0,246
109.247.65.213,0,244
62.89.51.18,0,54
82.199.26.244,0,54
82.134.45.91,0,246
217.18.204.132,0,246
148.82.221.13,0,247
178.255.150.127,0,246
91.90.41.100,0,246
139.106.81.28,0,55
213.184.210.171,0,243
193.213.34.137,0,243
89.10.202.214,0,52
129.241.18.61,0,49
185.190.36.45,0,51
89.207.142.241,0,49
212.67.54.71,0,243
79.161.81.133,0,244
213.128.166.1,0,51
139.105.36.136,1,241
84.49.149.85,0,52
217.170.205.77,1,53
193.220.187.84,0,241
84.48.119.230,0,50
141.0.91.63,0,244
193.212.57.25,0,240
193.32.110.89,1,116
84.16.212.223,0,247
195.204.36.138,0,243
78.26.39.66,0,2
79.161.140.198,0,244
193.213.202.5,0,243
37.202.57.152,0,56
89.10.118.221,0,53
89.10.100.119,0,53
84.49.143.92,0,55
185.226.201.203,0,46
193.214.111.201,0,245
85.221.33.169,0,52
83.243.218.174,1,51
84.48.98.185,0,50
79.171.85.201,1,246
85.93.251.10,0,50
79.160.115.225,1,52
85.252.188.10,0,243
185.181.62.202,0,55
86.62.148.229,0,50
62.89.44.44,0,54
185.41.16.246,0,240
193.212.240.221,0,245
89.254.20.89,0,49
185.101.1.175,0,243
95.128.104.206,1,244
185.181.60.232,0,55
89.10.227.134,0,54
5.100.179.165,0,50
46.212.201.166,0,49
82.148.163.145,1,53
185.35.200.77,0,54
193.213.191.33,0,244
89.20.231.1,0,244
80.232.2.67,0,49
171.23.141.48,0,244
80.212.15.193,0,55
92.220.63.27,0,246
148.82.160.116,0,247
85.164.11.149,0,53
146.247.171.73,0,242
85.93.239.51,0,50
82.148.185.255,1,49
46.255.23.206,1,50
178.164.12.15,1,244
188.94.219.106,0,53
86.105.21.7,0,242
84.234.221.8,0,51
77.95.72.77,0,240
88.93.160.87,1,117
81.95.91.248,0,49
185.174.85.67,0,244
151.249.123.172,0,56
84.48.117.109,0,50
5.100.186.173,0,50
46.226.14.97,1,53
91.184.144.124,0,243
88.94.228.224,0,245
85.252.185.157,0,52
82.134.36.229,0,246
85.93.228.1,0,50
185.211.75.73,0,46
82.134.45.145,0,191
31.24.131.125,0,53
82.148.186.178,0,49
94.246.23.35,0,247
178.232.48.225,0,51
185.146.103.163,0,240
178.72.33.76,1,52
37.202.58.23,0,246
194.63.250.168,1,56
212.89.120.166,1,49
213.161.225.76,0,243
84.214.147.10,1,53
193.220.109.52,1,42
85.158.84.1,0,246
213.52.114.177,0,244
85.167.115.249,0,52
195.204.58.84,0,54
178.174.122.240,0,49
195.204.38.62,0,243
195.159.108.211,0,53
89.10.145.247,0,53
195.204.36.205,0,243
91.241.2.233,0,239
86.105.22.254,0,242
89.207.138.240,0,49
195.181.156.230,0,72
93.124.197.74,0,245
62.97.196.9,0,246
109.247.130.255,0,247
62.97.223.129,0,246
85.200.230.99,0,246
213.138.165.90,0,52
84.205.51.198,0,48
37.202.63.192,0,246
193.150.23.113,0,54
89.10.127.53,0,52
81.95.92.246,0,49
213.236.164.159,0,242
77.88.91.114,0,245
81.95.91.56,0,49
185.3.0.60,0,50
129.241.75.172,0,50
84.211.91.108,0,50
217.149.127.228,0,244
81.95.91.86,0,49
139.98.41.34,0,53
62.97.223.173,0,246
62.148.62.9,0,246
85.19.118.112,0,241
185.71.210.64,0,55
155.4.24.207,1,243
84.48.64.36,0,49
62.97.192.232,0,54
185.206.5.159,1,244
195.204.98.222,0,243
83.118.180.62,1,235
213.138.183.147,0,180
79.161.223.63,0,244
81.27.35.193,0,53
213.52.120.100,0,54
89.10.134.71,0,53
81.88.67.175,0,49
93.124.192.47,0,241
185.90.213.86,0,53
