saddr,success,ttl
193.215.148.191,0,241
81.95.92.185,0,242
81.95.92.27,0,51
85.93.241.207,0,47
79.171.80.92,0,243
85.19.155.190,0,47
5.100.182.213,0,102
93.124.131.66,0,244
93.188.89.63,1,49
109.247.149.143,0,247
193.160.106.9,0,240
80.203.18.25,0,53
109.108.209.1,0,53
212.33.156.197,0,243
88.93.184.251,0,244
193.212.105.105,0,241
213.52.106.154,0,241
104.143.252.205,0,53
82.134.43.197,0,52
146.247.204.122,0,243
84.49.165.208,0,50
85.113.177.153,0,45
80.212.110.160,0,53
62.24.36.33,0,243
84.49.164.69,0,52
85.200.244.192,0,244
109.189.38.217,0,50
193.213.86.9,0,244
80.232.49.145,0,241
84.48.105.89,0,52
45.137.86.56,0,50
193.90.24.50,0,243
45.138.212.199,0,43
85.167.118.248,0,53
77.40.150.2,0,53
80.239.127.99,0,240
188.94.220.45,0,53
93.89.114.33,0,49
185.139.190.168,0,40
185.174.85.212,1,51
217.17.223.241,0,244
91.135.50.243,0,47
45.88.124.166,0,115
85.221.112.211,0,48
84.205.36.246,0,47
62.50.164.93,0,245
62.73.201.25,0,244
185.181.61.56,0,53
85.200.248.76,0,243
31.169.48.134,0,245
81.167.215.114,0,55
213.138.172.11,0,52
46.16.52.181,0,51
146.247.204.1,0,243
158.39.114.116,0,45
84.49.214.21,0,52
46.203.127.39,0,53
89.10.252.85,0,49
85.93.235.124,0,47
79.161.49.220,0,244
212.33.149.89,0,240
193.212.90.157,0,243
81.88.68.57,0,51
88.92.84.231,0,244
178.232.192.85,0,56
84.49.198.75,0,52
86.62.191.129,0,243
91.135.48.123,0,50
78.26.5.117,0,235
212.67.60.173,0,49
62.92.144.186,0,242
85.200.240.163,0,244
62.97.242.254,0,243
109.189.145.16,0,52
85.93.228.220,0,47
195.1.200.181,0,240
178.174.125.251,0,51
20.100.171.251,0,51
137.221.28.8,0,242
89.10.118.120,0,52
213.52.40.215,0,243
194.248.34.137,0,243
81.93.101.179,0,43
38.180.77.198,0,46
89.10.173.67,0,51
155.4.237.16,0,239
78.31.80.229,0,40
77.223.165.250,0,47
185.92.211.225,0,51
80.239.110.183,0,48
78.26.38.21,0,235
137.221.28.4,0,242
141.0.94.11,0,244
81.167.49.136,0,242
155.4.171.97,0,239
185.67.41.58,0,50
89.10.87.93,0,50
81.167.255.243,0,247
82.148.176.109,0,51
212.33.152.145,0,243
84.48.56.253,0,51
78.26.35.167,0,235
81.93.160.105,0,244
86.62.150.51,0,49
213.167.124.201,0,243
193.213.7.26,0,51
195.204.224.77,0,239
91.135.57.29,0,47
84.215.252.94,0,123
89.9.189.56,0,54
51.175.154.102,0,55
185.47.42.167,0,51
20.251.112.51,0,51
82.116.67.229,0,242
84.48.65.60,0,51
157.22.95.16,0,49
193.212.105.153,0,241
213.166.164.72,0,54
85.167.155.242,0,52
37.18.51.170,0,52
91.135.53.111,0,47
213.145.168.113,0,244
213.138.187.93,0,50
213.52.55.47,0,243
88.91.138.83,0,117
188.124.158.145,0,53
129.240.255.225,0,52
89.10.169.175,0,51
85.252.133.254,0,241
193.215.176.201,0,240
89.10.224.47,0,53
88.93.177.185,0,243
79.174.18.245,0,240
85.113.170.104,0,44
213.138.170.180,0,52
80.212.134.193,0,49
51.175.166.64,1,118
62.73.255.132,0,244
141.195.34.122,0,44
195.139.20.153,0,240
89.10.241.176,0,51
139.117.254.92,0,236
195.1.251.109,0,243
78.26.60.17,0,235
193.215.183.65,0,242
85.113.165.71,0,44
5.83.224.234,0,48
212.125.202.81,0,244
136.234.164.138,0,51
84.234.251.133,1,50
38.180.1.183,0,46
185.174.85.244,1,51
77.223.167.154,0,47
193.213.16.61,0,244
152.65.50.147,0,102
85.166.142.36,0,51
195.139.22.140,0,245
185.142.196.70,0,240
217.118.52.210,0,52
217.168.82.53,0,240
195.204.184.16,0,51
193.75.88.34,0,50
93.158.98.52,0,54
212.67.52.109,0,245
148.122.180.0,0,241
91.135.50.178,0,47
109.247.224.71,0,243
85.93.244.232,0,34
88.87.45.5,0,245
89.10.150.247,0,50
81.166.10.80,0,244
84.210.221.142,0,55
155.4.40.198,0,47
89.10.104.174,0,51
62.97.249.147,0,243
85.252.132.22,0,243
146.247.178.99,0,243
136.234.218.85,0,52
84.212.84.65,0,52
178.164.25.211,0,53
91.209.31.161,0,50
84.49.183.117,0,50
217.31.100.209,0,48
84.49.150.227,0,51
178.174.113.242,0,52
77.223.161.182,0,47
146.247.131.171,0,50
83.108.70.14,0,51
213.161.229.251,0,242
212.33.138.193,0,243
85.93.254.154,0,47
46.227.158.28,0,52
213.128.188.205,0,49
193.213.63.153,0,241
82.146.77.103,0,48
81.167.90.241,0,243
84.49.216.226,0,52
81.166.158.216,0,54
62.24.34.82,1,114
195.139.250.181,0,48
81.95.80.168,0,52
82.134.94.5,0,243
89.250.121.215,0,245
85.221.39.199,0,244
89.151.205.130,0,53
79.170.80.66,0,54
81.191.194.146,0,48
77.223.164.109,0,47
89.10.227.191,0,53
64.137.65.33,0,52
85.113.177.232,0,46
62.101.232.137,0,244
89.10.178.3,0,51
82.134.94.49,0,243
141.195.36.87,0,43
217.171.200.172,0,48
80.232.0.9,0,240
62.50.179.80,0,53
62.97.170.66,0,56
129.240.24.202,0,244
93.124.132.125,0,241
84.49.141.252,0,54
178.248.96.24,0,47
62.92.112.65,0,236
213.52.34.47,0,243
82.148.173.73,0,52
88.88.44.71,0,53
79.160.229.94,0,52
194.248.34.33,0,244
212.89.120.50,0,51
77.222.180.210,0,43
85.93.235.27,0,98
141.0.91.244,0,243
141.0.136.88,0,97
141.0.8.160,0,48
84.211.180.53,0,55
212.67.61.28,0,49
37.18.51.132,0,52
141.195.36.99,0,44
62.97.208.113,0,243
5.100.176.169,0,47
84.205.57.72,0,48
84.49.170.253,0,51
62.101.244.105,0,240
85.93.227.211,0,47
85.93.226.158,0,50
5.100.176.93,0,47
195.159.108.152,1,52
195.225.4.57,0,244
193.215.162.103,0,242
185.92.211.38,0,52
62.97.206.16,0,243
84.49.192.95,0,49
62.97.249.219,0,243
84.49.222.10,0,52
185.214.19.0,0,245
45.88.125.5,0,115
84.49.189.40,0,51
82.145.210.237,0,44
129.240.188.1,0,52
91.126.15.129,0,246
83.143.83.204,0,55
185.143.216.200,0,104
89.10.118.52,0,52
46.226.11.207,0,53
213.145.189.149,0,244
93.124.128.161,0,241
185.67.18.149,0,49
157.22.123.37,0,49
178.248.99.87,0,47
89.207.137.4,0,51
213.128.166.178,0,49
193.215.92.208,0,243
85.93.227.184,0,47
85.196.127.1,0,241
45.89.61.7,1,49
212.125.229.135,0,243
77.223.163.173,0,47
92.220.175.115,0,55
146.247.171.253,0,243
217.149.113.121,0,245
193.213.58.141,0,244
146.247.228.232,1,54
195.181.154.150,0,42
141.195.41.57,0,44
79.161.175.177,0,243
195.139.88.165,0,48
37.72.187.22,0,47
46.203.127.3,0,53
77.223.186.158,0,47
85.165.5.11,0,53
188.124.148.11,0,52
155.4.96.47,0,52
136.234.165.96,0,49
85.164.214.38,0,51
37.26.213.86,0,245
81.167.16.1,0,247
194.248.33.209,0,242
89.207.139.157,0,51
85.113.166.135,0,43
89.250.122.28,0,243
212.33.152.25,0,244
82.134.104.228,0,244
109.109.72.1,0,240
109.247.239.210,0,52
195.181.137.108,0,49
77.223.162.26,0,47
5.249.230.9,0,52
185.100.207.62,0,235
213.52.34.140,0,244
212.67.52.51,0,245
91.149.4.251,0,52
195.204.20.164,0,52
45.152.51.176,0,52
213.138.169.96,0,51
85.93.255.89,0,47
81.191.18.175,0,53
62.209.112.229,0,244
85.221.50.6,0,51
89.10.93.26,0,54
62.92.248.33,0,243
89.10.151.192,0,50
64.137.64.62,0,52
146.247.171.183,0,243
141.195.53.206,0,42
217.118.54.123,0,49
81.191.195.66,0,48
217.170.136.61,0,51
92.220.31.159,0,242
89.10.235.56,0,50
62.92.54.93,0,243
89.250.112.89,0,243
81.166.125.21,0,244
129.240.45.6,0,51
81.167.213.241,0,244
193.214.239.185,0,244
79.160.196.127,0,243
185.67.18.8,0,49
62.97.226.80,0,243
170.168.189.2,0,52
155.4.171.65,0,241
77.222.163.6,0,44
185.186.133.223,0,242
141.195.51.235,0,237
109.247.196.89,0,243
45.88.125.8,0,115
213.166.185.35,0,241
193.75.5.221,0,244
64.137.68.247,0,52
46.203.63.223,0,53
84.234.175.139,0,243
185.4.37.25,0,245
85.221.90.42,0,49
77.241.104.57,0,243
195.225.25.35,0,244
89.10.118.118,0,52
89.10.186.121,0,49
81.29.33.4,0,242
84.48.48.215,0,53
178.92.71.228,0,110
193.214.72.165,0,242
81.95.93.180,0,51
178.248.98.212,0,47
193.214.65.5,0,242
195.181.150.206,0,49
84.48.71.186,0,51
185.97.193.15,0,243
77.223.170.136,0,47
185.181.60.131,0,54
77.223.169.16,0,47
217.31.104.139,0,49
213.234.89.40,0,243
85.252.92.1,0,50
185.248.117.26,0,40
80.213.146.230,0,53
185.24.189.66,0,47
188.113.105.140,0,59
80.203.14.66,1,54
62.67.73.22,0,245
178.248.99.56,0,47
85.93.245.27,0,47
81.93.169.248,0,244
93.124.195.163,0,244
109.247.178.192,0,245
5.83.229.1,0,239
85.93.251.84,0,47
87.238.40.54,0,51
185.4.37.92,0,245
193.69.134.21,0,50
193.213.204.101,0,244
77.223.163.124,0,47
176.125.245.99,0,237
109.247.169.185,0,244
213.128.170.235,0,49
166.1.105.25,0,46
82.134.78.107,0,244
193.71.212.153,0,240
193.215.144.184,0,239
109.247.231.99,0,243
195.181.150.200,0,49
212.67.58.160,0,49
88.84.53.1,0,233
85.19.192.221,0,244
185.142.241.72,0,240
213.128.187.193,0,50
45.137.86.205,0,50
148.122.219.215,0,243
5.100.183.178,0,47
195.181.148.102,0,49
185.35.187.101,0,53
77.222.191.129,0,45
62.97.196.92,0,243
88.87.60.92,0,50
141.195.10.122,0,237
146.247.138.241,0,245
139.117.223.9,0,113
84.49.216.88,0,52
193.213.107.97,0,242
88.94.85.26,0,244
178.248.101.239,0,47
89.10.95.10,0,54
213.52.26.97,0,52
82.148.190.199,0,51
92.62.41.248,0,47
213.139.68.181,0,111
193.214.2.81,0,242
147.12.34.194,0,49
136.234.217.119,0,49
46.29.238.206,0,53
82.134.68.225,0,244
213.138.190.9,0,49
85.200.203.87,0,244
155.4.49.69,0,241
188.93.189.127,0,47
92.221.177.94,0,52
79.160.116.92,0,244
84.208.6.59,0,247
46.9.99.29,0,49
89.10.98.230,0,52
46.19.19.29,0,244
85.93.236.212,0,47
193.168.159.17,0,52
80.202.235.94,0,53
185.120.100.148,0,242
93.89.36.48,0,245
82.148.183.38,0,51
146.247.246.179,0,116
213.128.166.95,0,49
195.139.64.191,0,50
193.215.47.141,0,242
37.49.146.98,0,111
82.134.69.4,0,243
178.164.1.39,0,243
109.247.130.205,0,244
217.171.202.4,0,49
217.171.192.189,0,49
82.146.88.204,0,48
85.93.250.180,0,47
193.214.235.121,0,243
78.158.237.122,0,52
84.234.175.1,0,243
87.238.41.50,0,53
82.146.75.92,0,48
80.202.235.253,0,53
212.125.216.129,0,237
193.215.147.227,0,241
84.48.100.58,0,52
85.165.154.220,0,52
31.24.129.26,0,53
84.49.145.25,0,51
213.145.187.177,0,242
45.134.89.251,0,52
82.148.169.136,0,52
82.134.52.32,0,243
213.179.57.140,0,51
91.135.56.110,0,47
85.252.29.164,0,243
193.215.149.248,0,236
195.1.250.86,0,244
185.139.190.18,0,42
109.247.230.122,0,244
185.35.184.129,0,54
157.22.63.85,0,51
147.12.37.167,0,49
83.143.85.125,0,244
